[2026-01-07 14:02:21] Action: clear_all_cache | Admin: 4 | Details: Cleared 0 cache files
[2026-01-07 14:35:40] Action: clear_all_cache | Admin: 4 | Details: Cleared 0 cache files
[2026-01-07 14:38:03] Action: clear_all_cache | Admin: 4 | Details: Cleared 0 cache files
[2026-01-07 14:38:11] Action: clear_all_cache | Admin: 4 | Details: Cleared 0 cache files
[2026-01-07 14:39:08] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:39:14] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:40:22] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:40:28] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:42:19] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:42:46] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:44:28] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:46:41] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:48:28] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:48:35] Action: clear_api_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:48:42] Action: clear_promo_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:49:14] Action: clear_promo_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:49:27] Action: clear_promo_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:51:58] Action: clear_promo_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:52:07] Action: clear_api_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:52:15] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:52:26] Action: clear_admin_cache | Admin: 4 | Details: Cleared 0 files
[2026-01-07 14:52:32] Action: clear_frontend_cache | Admin: 4 | Details: Cleared 0 files
